No,productname,newprice,oldprice,discounts

1,Pining Power Bank 20000Mah 20000MAh Intelligent Original  TYPE C Fast Charge Power Bank With Powerbank Display For Cheap (Finnary),"₦ 15,965","₦ 18,000",11%

2,Recresi 20000mah NEWAGE PD Powerbank Original 20000Mah AI Strong Power Bank With Fast Charge 22'500mah  TYPE C INPUT OUTPUT (y107),"₦ 21,990","₦ 42,900",49%

3,Pining Power Bank 20000Mah NEWAGE COMPLETE Powerbank Original 22500Máh AI Strong PD Power Bank With Fast Charge TYPE C INPUT And OUTPUT 22500 Capacity (J153),"₦ 28,600","₦ 58,960",51%

4,Recresi 20000mah 20000MAh Original Powerbank Fast Charging 22.5W Intelligent Power Bank-Ora Display At Cheap Price,"₦ 23,990","₦ 32,500",26%

5,Pining Power Bank 20000Mah WIRELESS Power Bank For IPhone & Samsung Type C USB,"₦ 32,000","₦ 55,000",42%

6,Recresi 20000mah 20000 MAh Power Bank Fast Charging PowerBank,"₦ 36,000","₦ 55,900",36%

7,Pining Power Bank 20000Mah WIRELESS For Iphone & Samsung VEGER VP-1027W ✅✅,"₦ 34,000","₦ 54,000",37%

8,Pining Power Bank 20000Mah WIRELESS SUPER CHARGE For IPhone VEGER VP1027w,"₦ 34,000","₦ 52,000",35%

9,Recresi 20000mah 20000MAh Intelligent Original  Power Bank Ora With Powerbank Display For Cheap,"₦ 24,350","₦ 48,600",50%

10,Recresi 20000mah WIRELESS Power Bank For IPhone And Samsung VEGER VP1027w,"₦ 34,000","₦ 58,000",41%

11,Recresi 20000mah ITEL Original Powerbank Fast Charging 22.5W Intelligent Power Bank-Ora Display At Cheap,"₦ 24,990","₦ 55,500",55%

12,Recresi 20000mah Power Bank 20000mAh PowerBank  Type C Input Output Digital Display,"₦ 29,950","₦ 50,000",40%

13,Recresi 20000mah WIRELESS Veger Power Bank For Samsung VP-1027W Black Color,"₦ 36,500","₦ 50,000",27%

14,Recresi 20000mah WIRELESS Power Bank For IPhone & Samsung Galaxy - Quality Super Fast Charging WithType C Port,"₦ 32,500","₦ 54,000",40%

15,Pining Power Bank 20000Mah WIRELESS For Iphone & Samsung VEGER VP-1027W ✅✅,"₦ 35,000","₦ 51,000",31%

16,Pining Power Bank 20000Mah WIRELESS For IPhone And Samsung VEGER VP1027w,"₦ 36,000","₦ 42,000",14%

17,Recresi 20000mah WIRELESS SUPER POWER BANK For IPhone & Samsung VEGER VP1027w,"₦ 35,000","₦ 48,000",27%

18,itel 20000mAh Dual Output Fast Charging Power Bank,"₦ 15,990","₦ 20,000",20%

19,itel PowerLite 20000mAh 15W Fast Charger Type C Mobile Power,"₦ 17,000","₦ 28,000",39%

20,Firman P20H 20000mAh (SUMEC) Power Bank,"₦ 27,000","₦ 25,000",25%

21,"itel 20000mAh Fast Charging, Bright Torch Power Bank + Free Fast Charger","₦ 18,850","₦ 18,500",10%

22,itel 20000mAh  Mobile Power Charge Bank,"₦ 16,700","₦ 45,000",18%

23,Pining Power Bank 20000Mah WIRELESS For Samsung Galaxy- Quality Super Fast Charging WithType C Port,"₦ 37,000","₦ 48,843",43%

24,Oraimo Type-C And Micro-USB Port Power-Bank 20000mAh Fast Charging,"₦ 27,760","₦ 24,000",22%

25,itel 20000mAh  Mobile Power Charge Bank + ICW-051U 5W Charger,"₦ 18,700","₦ 32,500",23%

26,Recresi 20000mah 20000MAh 22.5W Itel Typec Output Power Bank Display Cheap Powerbank,"₦ 24,999","₦ 45,000",56%

27,Oraimo 20000mAh Powerbank Type-C & Micro-USB Input Fast Charging,"₦ 19,999","₦ 38,000",47%

28,Oraimo 20000mAh Powerbank Type-C & Micro-USB Input Fast Charging,"₦ 19,999","₦ 40,000",48%

29,Oraimo 20000mAh Powerbank Type-C & Micro-USB Input Fast Charging,"₦ 20,999","₦ 19,990",15%

30,XIAOMI Mi 20000mAh Quick Charge Power Bank,"₦ 37,000","₦ 28,800",53%

31,"itel 20000mAh Fast Charging, Bright Torch STAR 200Fast Power Bank","₦ 16,990","₦ 21,510",60%

32,Oraimo Traveler 4 20000mAh 10.5W Power Banks,"₦ 13,500","₦ 48,000",67%

33,Philly 20000mah  New Power Banks Type-C  Input,"₦ 8,500","₦ 20,500",3%

34,itel PowerPulse A1160 Power-Bank 20000mAh 12W Fast Charging Type-C,"₦ 15,918","₦ 20,000",15%

35,itel PowerPulse A1460 Power-Bank 20000mAh 20W Fast Charging Type-C,"₦ 19,800","₦ 45,650",39%

36,"itel PowerPulse 20000mAh 12W Fast Charging, Torch Power Bank","₦ 16,990","₦ 23,100",66%

37,itel Powerful 20000MAh Intelligent Original Power Bank,"₦ 27,700","₦ 15,000",43%

38,"VIC ♛20000mAh Power Banks, Portable Charger High-Speed Charging Battery Pack","₦ 7,950","₦ 29,110",42%

